class	register	word
adj	ah	blistered
adj	ah	clammy
adj	ah	cloying
adj	ah	cracked
adj	ah	damp
adj	ah	dank
adj	ah	drenched
adj	ah	dripping
adj	ah	fetid
adj	ah	fevered
adj	ah	frayed
adj	ah	gaunt
adj	ah	glistening
adj	ah	gnarled
adj	ah	greasy
adj	ah	gritty
adj	ah	humid
adj	ah	moist
adj	ah	murky
adj	ah	oozing
adj	ah	pallid
adj	ah	papery
adj	ah	peeling
adj	ah	pulsing
adj	ah	rank
adj	ah	rough
adj	ah	saturated
adj	ah	scarred
adj	ah	scuffed
adj	ah	skeletal
adj	ah	slick
adj	ah	slimy
adj	ah	sodden
adj	ah	split
adj	ah	spongy
adj	ah	sticky
adj	ah	swampy
adj	ah	sweating
adj	ah	swollen
adj	ah	tattered
adj	ah	viscous
adj	ah	weathered
adj	ah	weeping
adj	ah	wet
adj	ah	worn
adj	ahaha	aged
adj	ahaha	ash-covered
adj	ahaha	ashen
adj	ahaha	blackened
adj	ahaha	bleached
adj	ahaha	blistered
adj	ahaha	broken
adj	ahaha	burned
adj	ahaha	burnt
adj	ahaha	calcified
adj	ahaha	charred
adj	ahaha	corroded
adj	ahaha	cracked
adj	ahaha	crumbled
adj	ahaha	crumbling
adj	ahaha	darkened
adj	ahaha	decayed
adj	ahaha	decaying
adj	ahaha	eroded
adj	ahaha	eroding
adj	ahaha	faded
adj	ahaha	fading
adj	ahaha	fractured
adj	ahaha	fused
adj	ahaha	gleaming
adj	ahaha	glistening
adj	ahaha	glowing
adj	ahaha	molten
adj	ahaha	peeling
adj	ahaha	regenerating
adj	ahaha	rotting
adj	ahaha	rusted
adj	ahaha	scaled
adj	ahaha	scarred
adj	ahaha	scorched
adj	ahaha	shattered
adj	ahaha	singed
adj	ahaha	sloughing
adj	ahaha	sooty
adj	ahaha	splintered
adj	ahaha	tarnished
adj	ahaha	tattered
adj	ahaha	warped
adj	ahaha	weathered
adj	ahaha	withered
adj	ahaha	withering
adj	ahaha	worn
adj	ahhh	aged
adj	ahhh	ancient
adj	ahhh	clear
adj	ahhh	dark
adj	ahhh	deep
adj	ahhh	eternal
adj	ahhh	ethereal
adj	ahhh	faint
adj	ahhh	glowing
adj	ahhh	golden
adj	ahhh	hoary
adj	ahhh	immense
adj	ahhh	immutable
adj	ahhh	inevitable
adj	ahhh	infinite
adj	ahhh	lucent
adj	ahhh	luminous
adj	ahhh	pale
adj	ahhh	patient
adj	ahhh	primeval
adj	ahhh	pristine
adj	ahhh	profound
adj	ahhh	radiant
adj	ahhh	serene
adj	ahhh	settled
adj	ahhh	shadowed
adj	ahhh	stark
adj	ahhh	still
adj	ahhh	stratified
adj	ahhh	sublime
adj	ahhh	timeless
adj	ahhh	tranquil
adj	ahhh	twilight
adj	ahhh	vast
adj	ahhh	worn
noun	ah	amber
noun	ah	ash
noun	ah	bile
noun	ah	brine
noun	ah	carrion
noun	ah	chalk
noun	ah	decay
noun	ah	dew
noun	ah	drip
noun	ah	dusk
noun	ah	dust
noun	ah	filth
noun	ah	flesh
noun	ah	fog
noun	ah	frost
noun	ah	fungus
noun	ah	gore
noun	ah	grime
noun	ah	grit
noun	ah	haze
noun	ah	humidity
noun	ah	ichor
noun	ah	lichen
noun	ah	loam
noun	ah	marrow
noun	ah	mire
noun	ah	moisture
noun	ah	mold
noun	ah	moss
noun	ah	muck
noun	ah	mud
noun	ah	murk
noun	ah	nitre
noun	ah	ooze
noun	ah	phlegm
noun	ah	pus
noun	ah	rot
noun	ah	sap
noun	ah	scum
noun	ah	seep
noun	ah	seepage
noun	ah	serum
noun	ah	silt
noun	ah	sinew
noun	ah	slime
noun	ah	sludge
noun	ah	soot
noun	ah	swamp
noun	ah	sweat
noun	ah	tannin
noun	ah	tar
noun	ah	vapor
noun	ah	vermin
noun	ah	viscera
noun	ah	wound
noun	ahaha	alloy
noun	ahaha	ash
noun	ahaha	blaze
noun	ahaha	blight
noun	ahaha	bone
noun	ahaha	calcification
noun	ahaha	canker
noun	ahaha	char
noun	ahaha	cinder
noun	ahaha	coal
noun	ahaha	corrosion
noun	ahaha	crust
noun	ahaha	decay
noun	ahaha	ember
noun	ahaha	erosion
noun	ahaha	fissure
noun	ahaha	forge
noun	ahaha	fusion
noun	ahaha	glass
noun	ahaha	ice
noun	ahaha	ichor
noun	ahaha	iron
noun	ahaha	lava
noun	ahaha	magma
noun	ahaha	moss
noun	ahaha	mud
noun	ahaha	patina
noun	ahaha	rime
noun	ahaha	rot
noun	ahaha	rust
noun	ahaha	scale
noun	ahaha	scar
noun	ahaha	scour
noun	ahaha	sediment
noun	ahaha	slag
noun	ahaha	slough
noun	ahaha	smoke
noun	ahaha	soot
noun	ahaha	splinter
noun	ahaha	stain
noun	ahaha	stone
noun	ahaha	tarnish
noun	ahaha	weathering
noun	ahaha	weld
noun	ahaha	wound
noun	ahhh	abyss
noun	ahhh	air
noun	ahhh	basalt
noun	ahhh	beam
noun	ahhh	bedrock
noun	ahhh	canyon
noun	ahhh	cathedral
noun	ahhh	cavern
noun	ahhh	chasm
