zone_id	zone_name	element	clock_pos	angle_deg	stratum	stratum_name	mat_id	material_family	primary_texture_path	pbr_normal	pbr_roughness	pbr_displacement	pbr_ao	pbr_metalness
Z0	Thornhaven	Aether	Center	0	S0	Baseline	100	pbr/stone/cobble/PavingStones146	pbr/stone/cobble/PavingStones146.png	pbr/stone/cobble/PavingStones146_1K-JPG_NormalGL.jpg	pbr/stone/cobble/PavingStones146_1K-JPG_Roughness.jpg	pbr/stone/cobble/PavingStones146_1K-JPG_Displacement.jpg	pbr/stone/cobble/PavingStones146_1K-JPG_AmbientOcclusion.jpg	none
Z0	Thornhaven	Aether	Center	0	S1	Ancient	101	zones/thornhaven_market_ancient	zones/thornhaven_market_ancient.png	none	none	none	none	none
Z0	Thornhaven	Aether	Center	0	S2	Decay	102	zones/thornhaven_courtyard_decay	zones/thornhaven_courtyard_decay.png	none	none	none	none	none
Z0	Thornhaven	Aether	Center	0	S3	Golden	103	zones/thornhaven_courtyard_golden	zones/thornhaven_courtyard_golden.png	none	none	none	none	none
Z0	Thornhaven	Aether	Center	0	S4	Void	104	zones/thornhaven_gate_void	zones/thornhaven_gate_void.png	none	none	none	none	none
P1	Aries	Fire	1 o'clock	30	S0	Baseline	110	pbr/special/lava/Lava004	pbr/special/lava/Lava004.png	pbr/special/lava/Lava004_1K-JPG_NormalGL.jpg	pbr/special/lava/Lava004_1K-JPG_Roughness.jpg	pbr/special/lava/Lava004_1K-JPG_Displacement.jpg	pbr/special/lava/Lava004_1K-JPG_AmbientOcclusion.jpg	pbr/special/lava/Lava004_1K-JPG_Emission.jpg
P1	Aries	Fire	1 o'clock	30	S1	Ancient	111	pbr/special/ancient/GlazedTerracotta001	pbr/special/ancient/GlazedTerracotta001.png	pbr/special/ancient/GlazedTerracotta001_1K-JPG_NormalGL.jpg	pbr/special/ancient/GlazedTerracotta001_1K-JPG_Roughness.jpg	pbr/special/ancient/GlazedTerracotta001_1K-JPG_Displacement.jpg	pbr/special/ancient/GlazedTerracotta001_1K-JPG_AmbientOcclusion.jpg	none
P1	Aries	Fire	1 o'clock	30	S2	Decay	112	materials/corrupted_stone_decay	materials/corrupted_stone_decay.png	none	none	none	none	none
P1	Aries	Fire	1 o'clock	30	S3	Golden	113	banners/thornhaven_guard_banner_golden	banners/thornhaven_guard_banner_golden.png	none	none	none	none	none
P1	Aries	Fire	1 o'clock	30	S4	Void	114	pbr/special/void/Road012B	pbr/special/void/Road012B.png	pbr/special/void/Road012B_1K-JPG_NormalGL.jpg	pbr/special/void/Road012B_1K-JPG_Roughness.jpg	pbr/special/void/Road012B_1K-JPG_Displacement.jpg	pbr/special/void/Road012B_1K-JPG_AmbientOcclusion.jpg	none
